id;credit_acc_details_id;credit_account_details_ulid_id;tenant_id;customer_id;acc_name;ifsc_code;acc_number;destination_account_name;destination_account_number
1;30673;deafening repeal;24486;10538;dance apud;mockingly rudely;11287;calculating caucus kaleidoscopic;meanwhile unhitch shyly
2;21854;untimely enchanting shyly;13265;17787;rainmaker transplant;loop;4206;for;ugh knottily quarrelsome
3;6137;enraged;267;30398;and;arrogantly;1608;pish;dismal
4;23779;irritably likewise lightly;11155;12332;active polish gleefully;deride unabashedly;11693;stake aw;oof fancy
5;12651;beside cautiously;32558;21304;inasmuch;and;11467;wary rag till;mortally whoa gadzooks
6;20083;recapture;28609;19866;pace;afore;22657;pish coolly induce;insecure or fatherly
7;885;ah lest growing;204;4409;um furiously;hilarious deodorant adoption;24422;cache contrast outside;phew save
8;4493;idle anti ah;8593;1323;cautiously uh-huh;composed;24674;though about even;unto once where
9;31588;bah;4358;26290;envision studious;since;11288;aha gregarious supposing;gee
10;9107;the;26169;6927;qualified combust;immigrate;30381;unaccountably;prattle sleepily but
