id;escrow_details_id;escrow_details_ulid_id;tenant_id;customer_id;acc_name;ifsc_code;virtual_acc_number;pooling_acc_number
1;9319;president till;13460;25156;yummy;since cannibal;usually;1100
2;32364;jam-packed;24257;21375;dagger;geez huzzah along;worst out owlishly;27038
3;15867;athwart;10068;2343;ugh;wearily monthly;within steam aside;11123
4;27007;while epee;3259;31427;upright anxious;below;that;12579
5;5221;hmph plus;27594;23931;so irritating nor;between;ack;31862
6;24196;rarely;27777;12140;hmph longingly;meet;tale upright however;27613
7;5966;glide grave;11791;17752;churn versus pish;barring that;impolite;22608
8;13177;incidentally barring;13069;24221;positively;cube mockingly outpace;curse;18673
9;12740;tussle dim;24880;20161;woot outside;salmon but aid;aside broadly aw;4999
10;14579;officially;24107;5692;circa freely;fooey including;shift yowza;20377
