id;participant_settlement_id;participant_settlement_ulid_id;participant_id;participant_name;gst_id;settlement_type;charge_type;settlement_amount;settlement_date;settlement_due_date;settlement_contact_info;patron_of_payment;recipient_of_payment;settlement_method;tenant_id;acc_name;ifsc_code;acc_number;doc_id;record_status
1;25332;phooey um finally;10006;hourly fully;since zowie deprecate;ATSettlement;CRETransactionFees;12244;expensive minimalism gaffer;while root;vigorous;lest where;ack spellcheck onto;without lest;26934;eek snaggle;even sniveling if;22188;million inasmuch vigilant;queasily degree
2;14630;gee furthermore;12571;ferociously so;wring especially;ATSettlement;ATTransactionCharges;7008;suffice fairly given;gosh keenly duh;yahoo;needy;alienated jaded;a parole excoriate;21449;yippee;hairy whoa;6952;commonsense fearful;waffle
3;21233;prickly healthily keenly;27054;gadzooks;helplessly frenetically;ATSettlement;FPTransactionCharges;18493;download of psst;fooey untrue;opposite;against;towards tassel;despite and athwart;29760;yowza ick;kiddingly seemingly;3857;poorly;zowie
4;10940;knottily texture queasily;15427;angora organizing bivouac;antelope unexpectedly kaleidoscopic;TPSettlement;CRETransactionFees;32258;silky below;court unlucky criticise;hmph;punctually almost;excepting;meanwhile boo;6881;failing;ugly oof;16583;sans evenly oof;which fatally how
5;7321;potentially trifle sandal;10839;granddaughter loosely;now so apud;PFTSettlement;CRETransactionFees;19274;sleepily;before;loftily seed mid;upliftingly now shrilly;sweaty;oh behind;27013;meaningfully abound;station;24237;advanced from finally;ha ah
6;24919;alb;18540;multimedia lovingly before;per;FPSettlement;FPTransactionCharges;27293;eavesdropper gadzooks kind;underneath fair revenue;out;but stamina vaguely;vigorous legitimate;webbed ouch;16618;burn;ack;22111;consequently;suspiciously
7;18266;courage oh;21337;boohoo ridge;hungrily;PFTSettlement;CRETransactionFees;18742;ha wonderfully;until yippee;via;mathematics;that query;through round;17126;vainly outside;hound;14938;thoughtfully sanction ick;quicker striped
8;10850;aw;26913;skate;aching who;PFTSettlement;NoCharge;6404;crowded;instead;minus;registration symptom instead;brr gargantuan;but gah oof;30210;active what yum;onto index;18030;whose up mockingly;toward squirt gosh
9;17887;after;13834;termination;what;PFTSettlement;FPTransactionCharges;9511;stick mortally oof;uselessly psst commonly;but mark;curdle likewise why;like;absent yum;26726;anti wisely yowza;oh tenderly;3643;shakily astound;morphology benchmark
10;19926;boohoo um;23016;upward worriedly;whereas;TPSettlement;CRETransactionFees;28229;notwithstanding hmph neatly;zowie;syringe;deposit vibrant supposing;concerned germinate;curly;23326;fair incinerate rewarding;mortgage towards;17648;that;phew
