id;va_id;pooling_acc_number;virtual_acc_number;va_status;finance_request_id;sub_group_id
1;13784;giggle vast hence;brr;dirt eek noisily;barstool lowball dead;over save and
2;29400;beetle yum;harness consequently mmm;even;finally upright proposition;hive cardboard
3;23623;that pasture;afore warmhearted;likewise;easel annual;boohoo
4;17406;wonderfully;phooey drat;wasteful outside tightly;pro intention;how
5;15153;sometimes;river than;chunter previous consequently;despite icy;miserably although
6;6444;monthly;idolize usually;flex;happy-go-lucky;properly calmly
7;4369;within kookily geez;searchingly;truthfully button;rice ha;gargantuan expansion
8;15536;mineral;too yippee;prepare brr next;underneath;absentmindedly throughout blah
9;90;champagne;even grave yearningly;freely outsource er;ah impose anger;limply
10;26577;midst nobody;demonise through;while meanwhile although;squeal fear jiggle;axe naming
